#A [AU],M [earth mass]
0.008200,0.58000
0.015600,0.65000
0.015570,0.75000
0.020900,0.98000
0.025200,1.05000
0.044300,1.11000
0.027640,1.14000
0.036467,1.18000
0.027600,1.21000
0.048500,1.27000
0.035509,1.36000
0.021000,1.37000
0.049600,1.40000
0.054000,1.64000
0.029000,1.65700
0.028453,1.70000
0.028150,1.70000
0.067393,1.72000
0.035000,1.74000
0.133000,1.75000
0.019700,1.78000
0.057638,1.81900
0.243000,1.83000
0.037500,1.91000
0.052900,1.93000
0.030000,1.94000
0.032820,2.02000
0.126400,2.31000
0.203600,2.40000
0.029000,2.47000
0.225000,2.52000
0.066200,2.58000
0.066200,2.58000
0.047600,2.64000
0.213000,2.70000
0.156000,2.70000
0.120700,2.70000
0.064000,2.78000
0.087990,2.80100
0.078361,2.82000
0.127000,2.82000
0.154170,2.87700
0.091101,2.89000
0.078500,2.99000
0.072000,3.03000
0.260000,3.17830
0.082080,3.28000
0.042200,3.35000
0.061000,3.40000
0.089000,3.41000
0.064816,3.49613
0.364000,3.52000
0.260000,3.60000
0.248500,3.63000
0.125000,3.70900
0.125000,3.80000
0.047500,3.81000
0.038474,3.81396
0.538000,3.93000
1.334000,3.93000
0.103000,4.00000
0.046800,4.00000
0.047524,4.00000
0.125010,4.10000
0.065100,4.13000
0.050000,4.15000
0.057000,4.18000
0.068000,4.20000
0.084270,4.25000
0.038200,4.33612
0.065300,4.36000
0.041300,4.40000
0.080000,4.40000
0.123000,4.54000
0.549000,4.60000
0.038760,4.74000
0.509000,4.77000
0.349900,4.80000
0.093400,4.81000
0.050201,5.10000
0.247000,5.20000
0.249100,5.20000
0.203900,5.21000
0.178000,5.22300
0.060000,5.30000
0.100400,5.33000
0.071700,5.35000
0.066610,5.36000
0.070000,5.36000
0.163000,5.40000
0.072100,5.50000
0.111700,5.59000
0.072993,5.60000
0.050431,5.60000
0.050500,5.60000
0.090500,5.63000
0.074000,5.65200
0.050000,5.66100
0.049000,5.68000
0.062960,5.74000
0.058000,5.79000
0.062000,6.04300
0.204000,6.10000
0.089000,6.26000
0.060000,6.35660
0.080000,6.35660
0.080000,6.35660
