discoverymethod,semimajoraxis,radius,mass,density,eccentricity,inclination,ttv,depth
Imaging,,6.725,,,,,0,
Imaging,,10.088,,,,,0,
Imaging,,10.088,,,,,0,
Imaging,8,10.468,6992,,,,0,
Imaging,,11.209,,,,,0,
Imaging,,11.209,,,,,0,
Imaging,773,11.777,6991.57,,,,0,
Imaging,320,12.33,1906.98,,,,0,
Imaging,7506,12.442,2002.31896,,,,0,
Imaging,20.3,12.442,9534.9,,,,0,
Imaging,68,13,2000,,,,0,
Imaging,38,13,3000,,,,0,
Imaging,24,13,3000,,,,0,
Imaging,16.4,13.115,3178.3,,0.15,25,0,
Imaging,9.6,14.011,8899.1954,,0.14,146.8,0,
Imaging,1100,14.011,1906.98,,,,0,
Imaging,2000,14.179,3591.3,,,,0,
Imaging,,14.46,3496.11248,,,,0,
Imaging,22,14.572,2542.64,,,,0,
Imaging,1662,14.684,4767.4261,,,,0,
Imaging,156,16.141,4417.837,,,,0,
Imaging,3.53,16.365,4036.42077,,0.41,150.9,0,
Imaging,8.9,16.8,6356,,,,0,
Imaging,92,16.814,2860.47,,,,0,
Imaging,,18.495,2224.81,,,,0,
Imaging,330,18.647,2543,,,,0,
Imaging,,20.176,4767.45,,,,0,
Imaging,200,20.849,2479.06157,,,,0,
Imaging,30,22.418,7945.71018,,0.5,23,0,
Imaging,34,22.866,635.66,,0.11,132,0,
Imaging,440,24.66,5403,,,,0,
Imaging,,30.264,3496.13,,,,0,
Imaging,20,30.488,953.49,,0.19,140,0,
Imaging,100,33.6,6356,,,,0,
Imaging,,51.561,9852.73,,,,0,
Imaging,53,77.342,,,,,0,
Orbital Brightness Modulation,0.006,0.759,0.44,,,65,0,
Orbital Brightness Modulation,0.0076,0.867,0.655,,,65,0,
Orbital Brightness Modulation,,13.111,,,,,0,
Orbital Brightness Modulation,,13.2,,,,,0,
Orbital Brightness Modulation,,14.01,635.63,,0,78,0,
Orbital Brightness Modulation,0.0278,14.011,635.66,1.26,0.078,78,0,
Orbital Brightness Modulation,0.0274,15.244,638.8383,1.1,,77.55,0,
Orbital Brightness Modulation,,13.749,,,,,0,
Orbital Brightness Modulation,0.029,12.35,,,0,78.5,0,
Orbital Brightness Modulation,0.0274,13.43,,,0,79.15,0,
Orbital Brightness Modulation,0.0276,13.67,,,0,79.64,0,
Orbital Brightness Modulation,0.0276,13.67,,,0,79.64,0,
Orbital Brightness Modulation,0.0276,13.67,,,0,79.64,0,0.552041
Radial Velocity,0.01734,1.305,2.82,7,0.05,88.4,0,0.5661
Radial Velocity,0.1463,1.31,7.3,,0.148,,0,0.58173
Radial Velocity,0.237,1.61,16.17,,0.138,,0,0.5915
Radial Velocity,0.01544,1.875,7.99,6.66,0.05,83.59,0,0.5915
Radial Velocity,,1.897,7.74,6.25,,,0,0.5915
Radial Velocity,0.01544,1.91,8.08,6.4,,83.3,0,
Radial Velocity,0.01544,1.92,8.08,6.3,,83,0,
Radial Velocity,0.01583,2.173,8.37,4.5,0,,0,
Radial Velocity,0.2324,2.63,,,0.45,,0,
Radial Velocity,,2.9,11.1,2.5,0,88.241,0,
Radial Velocity,,3.88,12.58,0.93,0.114,,0,
Radial Velocity,0.031,3.88,13.73,1.18,0.017,88.88,0,
Radial Velocity,0.262,3.89,42.44,3.98,0.197,89.57,0,
Radial Velocity,0.0287,3.96,,,,86.699,0,
Radial Velocity,,4.04,,,,,0,
Radial Velocity,0.02887,4.091,23.42407,2.01,,86.43,0,
Radial Velocity,0.0308,4.1,25.4,,0.1616,86.858,0,
Radial Velocity,0.0291,4.17,22.1,1.8,0.13827,86.44,0,
Radial Velocity,0.03109,4.191,23.13802,1.73,0.15,86.774,0,
Radial Velocity,0.02872,4.2,23.1,,,,0,
Radial Velocity,0.029,4.26,23.201,1.7,0.2,,0,
Radial Velocity,0.03596,4.32,14.1,0.94,,,0,
Radial Velocity,0.0355,4.57,13.9,0.8,,89.13,0,
Radial Velocity,0.03557,4.83,13.9,0.72,,88.3,0,
Radial Velocity,0.04288,6.837,113.14748,2.0881,,88,0,
Radial Velocity,0.04313,7.331,114.10097,1.59,,90,0,
Radial Velocity,0.042,8.127,,,0,85.3,0,
Radial Velocity,1.4,8.4,,,0.105,,0,
Radial Velocity,0.04364,9.09,102.34126,0.75,0.013,84.5,0,
Radial Velocity,,9.113,116.957,0.85,,84.55,0,
Radial Velocity,0.449,10.98,1252.2,,0.9332,89.32,0,
Radial Velocity,0.5109,11.209,2542.62726,,0.395,90,0,
Radial Velocity,0.4564,11.243,1307.55262,5.08,,89.232,0,
Radial Velocity,0.4565,11.243,1308.18828,5.06,0.93226,89.232,0,
Radial Velocity,0.1614,11.43,1023.37,3.78,0.6819,87.89,0,
Radial Velocity,0.1637,11.938,1036.76146,3.35,,86.94,0,
Radial Velocity,0.16278,12.184,1028.18005,3.123,0.6703,86.49,0,
Radial Velocity,,12.274,1014.153,,0.6768,86.49,0,
Radial Velocity,0.031,12.3,349.6,0.96,0,,0,
Radial Velocity,0.0368,12.31,,,0,,0,
Radial Velocity,0.031,12.756,356.92309,0.943,0.0039,85.58,0,
Radial Velocity,,12.778,362.3262,,,,0,
Radial Velocity,0.03142,12.902,365.5045,1.004,,85.78,0,
Radial Velocity,,13.63,369.303,0.805,,,0,
Radial Velocity,0.0313,14.12,365.49,0.75,0,85.3,0,
Radial Velocity,0.0467,14.24,200.22,0.38,,87.1,0,
Radial Velocity,,14.796,,,,86.929,0,
Radial Velocity,,15.099,,,,86.68,0,
Radial Velocity,0.04707,15.233,216.76006,0.333,0.0081,86.71,0,
Radial Velocity,,15.244,219.3027,,,,0,
Radial Velocity,0.04747,15.468,226.93062,0.362,,86.59,0,
Radial Velocity,0.047,15.7,219.29,0.34,0,,0,
Radial Velocity,0.049,15.805,235.1942,0.32,,,0,
Radial Velocity,,15.917,217.71355,,,86.1,0,
Radial Velocity,,16.264,203.4,0.261,,,0,
Radial Velocity,,1.292,,,,,0,
Radial Velocity,0.0969,1.482,4.62,7.8,0.079,88.86,0,
Radial Velocity,0.0964,1.664,4.72,5.62389,0,88.49,0,
Radial Velocity,0.03863,1.533,,,,85.008,0,
Radial Velocity,,1.211,,,,,0,
Radial Velocity,0.0652,1.507,,,,87.304,0,0.007
Radial Velocity,,1.292,,,,,0,0.018
Radial Velocity,0.0653,1.511,4.36,6.95,0.062,87.28,0,0.0208
Radial Velocity,0.03876,1.602,4.74,6.34,0,85.05,0,0.02488
Radial Velocity,0.0382,1.606,,5.89,0.02,85.058,0,0.026577
Radial Velocity,,1.915,,,,,0,0.028
Radial Velocity,0.01583,2,8.63,5.9,,90,0,0.028022
Radial Velocity,,1.828,,,,,0,0.0318
Radial Velocity,0.01544,2.08,7.81,4.78,0.061,87.3,0,0.0358
Radial Velocity,0.425,2.562,8.82,2.87811,0,89.73,0,0.0359
Radial Velocity,,2.579,,,,,0,0.0375
Radial Velocity,0.1729,2.608,11.29,3.5,0.037,88.658,0,0.038
Radial Velocity,0.1721,2.916,11.24,2.49767,0,88.571,0,0.038138
Radial Velocity,,2.12,8.3,4.8,0.05,89.05,0,0.041
Radial Velocity,0.08,2.247,7.55,3.9,0.078,89.14,0,0.0492
Radial Velocity,,2.354,8.88263,,0.06,89.45,0,0.054594
Radial Velocity,0.0796,2.341,7.86,3.35,0.063,89.45,0,0.0558
Radial Velocity,,2.43,,,,,0,0.0638
Radial Velocity,,3.001,,,,,0,0.0712
Radial Velocity,,1.324,,,,,0,0.0773
Radial Velocity,,4.064,,,,,0,0.085
Radial Velocity,,8.295,120.7754,,0,84.55,0,0.0934
Radial Velocity,,7.969,,,,,0,0.094
Radial Velocity,,13.138,,,,,0,0.096075
Radial Velocity,0.0348,4.2,14,1.07,0.051,88.8,0,0.155063
Radial Velocity,,12.33,1115.5833,,0.68,87.82,0,0.207
Radial Velocity,0.02872,4.222,23.1688,1.69,,86.36,0,0.29
Radial Velocity,,3.812,,,,,0,0.290522
Radial Velocity,,4.363,,,,,0,0.386
Radial Velocity,,13.185,,,,,0,0.52
Radial Velocity,,11.994,1392.0954,,0.93,89.29,0,0.53
Radial Velocity,,15.581,232.0159,,0,86.71,0,0.5969
Radial Velocity,0.04707,15.233,217.704,0.338,,86.71,0,0.640471
Radial Velocity,0.046,15.92,197.05,0.27,0,,0,0.653
Radial Velocity,,15.62,,,,,0,0.657
Radial Velocity,0.03106,12.543,370.58978,1.031,,85.69,0,1.1
Radial Velocity,0.03099,12.756,363.582,0.963,,85.58,0,1.5
Radial Velocity,,12.666,359.1479,,0,85.71,0,1.55
Radial Velocity,,13.213,,,,,0,1.58
Transit,,0.277,,,,,0,1.607738
Transit,,0.32,10,,,,0,2.26
Transit,,0.354,,,0.08,,0,2.3
Transit,0.04178,0.403,,,0.16,88,0,2.4
Transit,,0.46,,,0,,1,2.599216
Transit,,0.47,4.3,,,,0,
Transit,,0.47,,,,,0,
Transit,,0.49,,,,,0,
Transit,0.04881,0.497,,,0.31,88.2,0,
Transit,,0.5,0.2,7.9,,,0,
Transit,,0.5,0.1,4.8,,,0,
Transit,,0.501,,,,,0,
Transit,0.008,0.51,99.2,,0,87,0,
Transit,,0.52,,,,,0,
Transit,,0.522,0.066,2.6,,,1,
Transit,0.06,0.53,,,0.18,88.16,0,
Transit,0.0696,0.546,,,0.1,89.13,0,
Transit,,0.551,,,,,0,
Transit,,0.57,,,,,0,
Transit,0.0154,0.57,,,,,0,
