discoverymethod,semimajoraxis,radiuse,radiusj,masse,massj,eccentricity,inclination,ttv,depth
Radial Velocity,1.29,,,,,0.231,,0,
Radial Velocity,1.21,,,,,,,0,
Radial Velocity,1.54,,,,,0.08,,0,
Radial Velocity,1.51,,,,,,,0,
Radial Velocity,1.53,,,,,0.08,,0,
Radial Velocity,0.83,,,,,0,,0,
Radial Velocity,0.68,,,,,,,0,
Radial Velocity,2.8,,,,,0.338,,0,
Radial Velocity,2.83,,,,,0.3674,,0,
Radial Velocity,2.864,,,,,0.359,,0,
Radial Velocity,2.93,,,,,0.37,,0,
Radial Velocity,2.73,,,,,0.357,,0,
Radial Velocity,2.773069,,,2586.74645,8.13881,0.372689,144.652,0,
Radial Velocity,2.82,,,,,0.37,,0,
Radial Velocity,2.77,,,,,0.369,,0,
Radial Velocity,1.66,,,,,0.68,,0,
Radial Velocity,1.676,,,,,0.6832,,0,
Radial Velocity,1.681,,,,,0.681,,0,
Radial Velocity,1.6,,,,,0.634,,0,
Radial Velocity,1.68,,,,,0.689,,0,
Radial Velocity,1.68,,,,,0.689,,0,
Radial Velocity,1.45,,,,,0.06,,0,
Radial Velocity,2.6,,,,,0.08,,0,
Radial Velocity,2.54,,,,,,,0,
Imaging,330,18.647,1.664,2543,8,,,0,
Imaging,330,,,4000,12,,,0,
Imaging,330,,,3000,8,,,0,
Imaging,330,,,3000,8,,,0,
Radial Velocity,0.19,,,,,0.042,,0,
Radial Velocity,1.333,,,,,0.09,,0,
Radial Velocity,2.08,,,,,0.29,,0,
Imaging,118,,,1271.31363,4,,,0,
Imaging,84,,,4131.79,13,,,0,
Imaging,,11.209,1,,,,,0,
Imaging,52,,,7786.5,24.5,,,0,
Imaging,156,16.141,1.44,4417.837,13.9,,,0,
Imaging,15,,,2383.6,7.5,,,0,
Imaging,55,,,1589.15,5,,,0,
Imaging,46,,,1271,4,,,0,
Eclipse Timing Variations,,,,,,0.33,,0,
Eclipse Timing Variations,0.92,,,603.877,1.9,,,0,
Imaging,230,,,3972.875,12.5,,,0,
Radial Velocity,1.01,,,,,0.18,,0,
Radial Velocity,0.995,,,,,0.289,,0,
Radial Velocity,0.99,,,,,0.29,,0,
Radial Velocity,0.87,,,,,0.432,,0,
Radial Velocity,1.19,,,,,0.38,,0,
Radial Velocity,2.1,,,,,0.012,,0,
Radial Velocity,2.1,,,,,0.032,,0,
Radial Velocity,2.11,,,,,0.097,,0,
Radial Velocity,2.11,,,,,0.049,,0,
Radial Velocity,2.059,,,,,0.016,,0,
Radial Velocity,3.6,,,,,0.098,,0,
Radial Velocity,7.73,,,,,0.005,,0,
Radial Velocity,3.404,,,,,0.179,,0,
Radial Velocity,11.6,,,,,0.16,,0,
Radial Velocity,13.8,,,,,0.38,,0,
Imaging,13.2,,,635.66,2,,,0,
Imaging,12,,,,,0.45,133,0,
Imaging,14,,,,,0.21,138,0,
Radial Velocity,0.052,,,146.2018,0.46,0,80,0,
Radial Velocity,0.05235,,,,,0.0042,,0,
Radial Velocity,0.052,,,,,0,,0,
Radial Velocity,,,,,,0,,0,
Radial Velocity,0.0527,,,,,0.013,,0,
Radial Velocity,0.115,,,,,0.02,,0,
Radial Velocity,0.11339,,,266.966,0.84,0.0023,89.73,0,
Radial Velocity,0.1134,,,,,0.004,,0,
Radial Velocity,0.115227,,,263.9785,0.8306,0.0034,90,0,
Radial Velocity,0.1162,,,,,0.0048,,0,
Radial Velocity,0.115,,,,,0.014,,0,
Radial Velocity,0.1138,,,,,0.0159,,0,
Radial Velocity,0.115,,,,,0.03,,0,
Radial Velocity,0.115,,,,,0.0197,,0,
Radial Velocity,0.1134,,,,,0,,0,
Radial Velocity,0.113,,,254.25,0.8,0,,0,
Radial Velocity,0.11,,,,,0.051,,0,
Radial Velocity,0.24,,,,,0.44,,0,
Radial Velocity,0.2373,,,,,0.03,,0,
Radial Velocity,0.237,,,,,0.07,,0,
Radial Velocity,0.23735,,,56.6985,0.1784,0.072,89.73,0,
Radial Velocity,0.241376,,,54.4738,0.1714,0.02,90,0,
Radial Velocity,0.238,,,,,0.053,,0,
Radial Velocity,0.2432,,,,,0.048,,0,
Radial Velocity,0.24,,,,,0.086,,0,
Radial Velocity,5.257,,,,,0.327,,0,
Radial Velocity,5.84,,,,,0.063,,0,
Radial Velocity,5.47,,,,,0.02,,0,
Radial Velocity,5.957,,,,,0.13,,0,
Radial Velocity,5.54,,,,,0.139,,0,
Radial Velocity,5.9,,,,,0.16,,0,
Radial Velocity,5.446,,,1226.77,3.86,0.0269,89.73,0,
Radial Velocity,5.28,,,,,0.24,,0,
Radial Velocity,5.503,,,1232.493,3.878,0.019,90,0,
Radial Velocity,5.77,,,,,0.025,,0,
Radial Velocity,0.01583,2,0.178,8.63,0.027,,90,0,0.038
Radial Velocity,,1.915,0.171,,,,,0,0.0375
